ds,yhat,yhat_lower,yhat_upper
2021-02-17,496.6289001902277,61.287800778123724,908.1925784545804
2021-02-18,496.7410397116911,74.5998925771263,907.498926040102
2021-02-19,496.85317923315444,91.66758130927691,944.2161250036846
2021-02-20,496.9653187546178,89.80842481795405,917.4613269869011
2021-02-21,497.07745827608113,69.8324896372272,919.7500752305241
2021-02-22,497.1895977975444,106.7769737880593,923.9615594843779
2021-02-23,497.30173731900777,92.28773121319611,928.9000488235899
2021-02-24,497.4138768404711,65.3413628845911,919.4471585954377
2021-02-25,497.52601636193447,57.767754878244766,906.0414211216658
2021-02-26,497.63815588339787,79.51837455610968,915.1871029477305
2021-02-27,497.7502954048612,37.81089695294903,923.6825268488046
2021-02-28,497.8624349263245,75.80286814782055,919.5390298104786
2021-03-01,497.97457444778786,69.70755163806002,933.3468972026411
2021-03-02,498.0867139692512,93.22864034920991,924.022986669154
2021-03-03,498.19885349071455,77.42276175218038,904.4338739625193
2021-03-04,498.3109930121779,34.96656643082194,938.9801251380602
2021-03-05,498.4231325336412,78.3261820229423,895.0436193986142
2021-03-06,498.53527205510454,50.061105904913816,891.3068702417037
2021-03-07,498.6474115765679,90.35800447982561,910.1766107822089
2021-03-08,498.7595510980313,32.13731865637517,912.6863081086293
2021-03-09,498.87169061949464,92.168349529515,951.7640589167801
2021-03-10,498.983830140958,44.440241654708714,924.311137357738
2021-03-11,499.0959696624213,69.93936320051615,956.740397550663
2021-03-12,499.20810918388463,49.6002710142708,955.501616934803
2021-03-13,499.320248705348,63.782961940539266,914.3216512811412
2021-03-14,499.4323882268113,62.4153942960576,910.574046289036
2021-03-15,499.54452774827473,73.8341416923313,946.3244633465778
2021-03-16,499.65666726973797,80.92915400680707,923.8349817923155
2021-03-17,499.7688067912013,35.38027579309059,954.9078131122736
2021-03-18,499.8809463126647,73.39485282824745,920.6905856245301
2021-03-19,499.99308583412807,106.69582711338865,929.7151270330507
2021-03-20,500.1052253555914,73.29103603883495,926.3614635226342
2021-03-21,500.21736487705476,92.38547999054852,956.0269708660172
2021-03-22,500.32950439851805,67.04889208692806,914.6973100794058
2021-03-23,500.4416439199814,71.1342570385208,943.5196384139196
2021-03-24,500.55378344144475,103.84436582139713,943.5367691500811
2021-03-25,500.6659229629081,91.70944497405486,925.5871776408941
2021-03-26,500.7780624843715,79.7996302380268,930.0484842938937
2021-03-27,500.89020200583474,93.4270502543932,983.6244835731579
2021-03-28,501.00234152729814,88.32557394898846,956.2864509829631
2021-03-29,501.1144810487615,49.31868056630161,887.3931402736744
2021-03-30,501.22662057022484,89.08639454223434,928.0629785689382
2021-03-31,501.3387600916882,63.920293157855056,943.7341944974959
2021-04-01,501.45089961315153,66.0974884888069,942.2710688627536
2021-04-02,501.5630391346148,61.97680278787913,927.4805616295016
2021-04-03,501.6751786560782,64.26919319156282,929.5482596003901
2021-04-04,501.7873181775415,81.27728073669482,931.4189712047155
2021-04-05,501.8994576990049,91.57447906509222,938.0161838244845
2021-04-06,502.0115972204683,98.66012398748825,914.642304881469
2021-04-07,502.12373674193157,62.122988121684465,947.7563783923724
2021-04-08,502.2358762633949,68.11055388915803,937.6866922375481
2021-04-09,502.34801578485826,87.36955051942068,966.8664649295799
2021-04-10,502.4601553063216,61.941341082744756,893.6558620624376
2021-04-11,502.57229482778496,91.3397818832508,913.6236404748549
2021-04-12,502.68443434924836,65.86943267494398,925.9958269431455
2021-04-13,502.7965738707117,83.58278100322835,926.0545199843934
2021-04-14,502.9087133949438,76.898386028304,904.3633480326832
2021-04-15,503.02085291917587,55.50392841354456,918.0708819855394
2021-04-16,503.13299244340806,47.4443202472385,914.7639492467079
2021-04-17,503.24513196764013,100.67454257070715,939.9129821555102
2021-04-18,503.3572714918722,103.50080951516745,919.6753532695258
2021-04-19,503.4694110161044,111.32081804779206,938.1182946098637
2021-04-20,503.5815505403365,81.28733277331834,918.0068191647883
2021-04-21,503.69369006456856,90.09428304843597,939.2011099159763
2021-04-22,503.80582958880075,83.51321547219428,924.7152476676584
2021-04-23,503.9179691130328,76.10842777430774,946.5659876892564
2021-04-24,504.0301086372649,64.1054079442715,930.4220376901278
2021-04-25,504.1422481614971,73.58293042758908,909.5151981292653
2021-04-26,504.25438768572917,75.89035187683515,931.0729200967618
2021-04-27,504.36652720996125,46.43944396457099,894.5530606111563
2021-04-28,504.47866673419344,93.79720026379866,957.3649364556796
2021-04-29,504.5908062584255,54.120798596302635,942.7807797463533
2021-04-30,504.7029457826576,88.48853679632515,942.3727851020813
2021-05-01,504.8150853068898,51.33981066620949,925.4789288605209
2021-05-02,504.92722483112186,55.54724544677823,919.5676659613923
2021-05-03,505.03936435535394,92.30735903670066,939.9742302875782
2021-05-04,505.15150387958613,71.71353553114672,948.6790477092411
2021-05-05,505.2636434038182,47.486257243930616,910.0331791604
2021-05-06,505.3757829280503,67.86750275313194,932.7181810242496
2021-05-07,505.4879224522825,90.32575297410631,910.9914071865829
2021-05-08,505.60006197651455,87.46130206376571,936.699964471372
2021-05-09,505.71220150074663,59.514050532729,942.6474098871251
2021-05-10,505.8243410249788,56.198748796587665,931.3416681084342
2021-05-11,505.9364805492109,75.19711415992614,943.1441797428846
2021-05-12,506.048620073443,75.28363143431442,917.435500599774
2021-05-13,506.16075959767517,106.98600971973056,955.1575037646509
2021-05-14,506.27289912190724,73.95045518003435,943.2647046077044
2021-05-15,506.3850386461393,54.43790129299187,914.394659730999
2021-05-16,506.4971781703714,88.3841322986047,942.950341696358
2021-05-17,506.6093176946036,66.6656698727003,922.1292777430062
2021-05-18,506.72145721883567,63.68185610696954,904.5550674139486
2021-05-19,506.83359674306786,84.25078376376216,939.9643550979938
2021-05-20,506.94573626729994,84.3148205608308,896.1401219967152
2021-05-21,507.057875791532,55.90529119165892,954.5790085423629
2021-05-22,507.1700153157641,80.3141692369573,918.6876597668579
2021-05-23,507.2821548399963,73.20702798317262,947.6555973134728
2021-05-24,507.39429436422836,77.52300259612643,954.025123816294
2021-05-25,507.50643388846044,43.18285178824659,944.2754388759965
2021-05-26,507.6185734126926,77.11215442179322,944.3626408552509
2021-05-27,507.7307129369247,80.95904107045575,962.4384126384223
2021-05-28,507.8428524611568,60.15715287031337,933.2130278294168
2021-05-29,507.954991985389,95.38626166491099,942.7807427876832
2021-05-30,508.06713150962105,72.03100103106016,953.1161668970344
2021-05-31,508.1792710338531,75.39451290367434,915.0198393292065
2021-06-01,508.2914105580853,74.95132825600531,932.034323760271
2021-06-02,508.4035500823174,94.68446437613629,956.570914880718
2021-06-03,508.5156896065495,95.40809955202275,898.7317189025986
2021-06-04,508.62782913078166,84.85709333064565,913.678452479361
2021-06-05,508.73996865501374,86.1960740541328,936.0222520301279
2021-06-06,508.8521081792458,70.34654563742771,913.2665790531821
2021-06-07,508.964247703478,58.279213393046,931.1837563517603
2021-06-08,509.0763872277101,71.26127434396034,938.4439463493719
2021-06-09,509.18852675194216,83.92453161729784,962.5793353916126
2021-06-10,509.30066627617424,86.7546344917543,928.0847981296765
2021-06-11,509.41280579745904,95.55342411822424,909.6224376985338
2021-06-12,509.52494531874373,115.6538347150468,927.5842381144532
2021-06-13,509.6370848400284,99.38539760842934,944.6881493511559
2021-06-14,509.7492243613131,76.83930112627904,935.3197859379202
2021-06-15,509.8613638825978,88.01343829967021,924.0814151832773
2021-06-16,509.9735034038825,86.61077790682364,918.5240536104392
2021-06-17,510.0856429251671,68.70695416649545,916.0447849249357
2021-06-18,510.1977824464518,107.13798449928957,947.7711172916291
2021-06-19,510.3099219677365,63.646003689495195,931.5866219982601
2021-06-20,510.4220614890213,88.92029608019784,924.247541020408
2021-06-21,510.534201010306,100.45724545284155,933.3121547986594
2021-06-22,510.6463405315907,88.24009480165722,952.3194770687243
2021-06-23,510.75848005287537,80.9429128566202,952.2235224811265
2021-06-24,510.87061957416,104.66577772618514,973.7613728828348
2021-06-25,510.9827590954447,91.4934204707199,909.8595124019006
2021-06-26,511.0948986167294,73.00524217093773,959.5962746817111
2021-06-27,511.20703813801407,90.37540370947185,930.2688254313271
2021-06-28,511.31917765929876,74.22378866017569,939.5433389312936
2021-06-29,511.43131718058356,93.26919961275398,934.6520752690078
2021-06-30,511.54345670186825,100.4721913373145,945.5056211663273
2021-07-01,511.6555962231529,79.92494624035399,952.4624035453078
2021-07-02,511.7677357444376,112.57823780879099,930.0111513591854
2021-07-03,511.87987526572226,81.11012533421439,941.4828457703189
2021-07-04,511.99201478700695,77.36205458682657,934.2688768943284
2021-07-05,512.1041543082916,61.61602635779652,936.2799525949084
2021-07-06,512.2162938295763,75.96486425426349,957.8237016054144
2021-07-07,512.328433350861,85.1697057531578,934.967868381778
2021-07-08,512.4405728721458,110.17446923104227,932.6877326446165
2021-07-09,512.5527123934305,72.74926685579759,929.2408995032514
2021-07-10,512.6648519147152,58.25780340467976,954.4983547902976
2021-07-11,512.7769914359999,71.35590035639233,939.5154292837792
2021-07-12,512.8891309572846,57.30852077625706,938.2298963822641
2021-07-13,513.0012704785693,110.54941331663757,942.3784038078429
2021-07-14,513.113409999854,102.72008192487836,961.8055279027338
2021-07-15,513.2255495211386,81.90140078851887,937.6014877884396
2021-07-16,513.3376890424232,124.17715740587822,942.6856511427449
2021-07-17,513.449828563708,114.24031345189216,932.3294113104455
2021-07-18,513.5619680849927,81.27188025867696,920.7935006016141
2021-07-19,513.6741076062774,66.94838503514758,929.8520075346041
2021-07-20,513.7862471275621,101.81552074729807,947.6456373805305
2021-07-21,513.8983866488468,93.51666413580386,953.9191488761102
2021-07-22,514.0105261701315,85.12734045756115,913.2829396716032
2021-07-23,514.1226656914162,82.12683468514432,936.2924209095435
2021-07-24,514.2348052127008,106.27240747898318,960.1768857080898
2021-07-25,514.3469447339855,65.46685970439432,931.0731277865327
2021-07-26,514.4590842552703,105.95623214966685,913.8197461907606
2021-07-27,514.571223776555,47.858692494576154,968.3815870162811
2021-07-28,514.6833632978397,78.23159397223543,957.9146142328694
2021-07-29,514.7955028191244,81.71592685110102,943.2462663956159
2021-07-30,514.907642340409,76.2001873591587,909.2122992753215
2021-07-31,515.0197818616937,92.39206883040391,943.8416340955572
2021-08-01,515.1319213829784,103.27353473729457,928.2763980734755
2021-08-02,515.2440609042632,68.17323209444605,959.1171084200242
2021-08-03,515.3562004255479,96.49689164407596,944.1989643553567
2021-08-04,515.4683399468325,105.23083966473541,960.7497976143944
2021-08-05,515.5804794681172,82.17765610074387,961.8711534108301
2021-08-06,515.6926189894019,93.88901059846508,942.7916253272541
2021-08-07,515.8047585106866,56.188180675391166,942.8509314912209
2021-08-08,515.8861721460536,75.26026148535078,952.9028932909442
2021-08-09,515.9675857814203,73.05885477223018,918.3302680321628
2021-08-10,516.0489994167873,110.08747934970964,940.1550504911872
2021-08-11,516.1304130521542,81.30101472815322,935.7760592728417
2021-08-12,516.2118266875211,71.62517108636048,938.3130127365893
2021-08-13,516.2932403228879,93.2947854251609,940.9485197363213
2021-08-14,516.3746539582548,62.31132644842137,908.0920540747994
2021-08-15,516.4560675936218,76.61985411927479,952.0088144652107
2021-08-16,516.5374812289886,109.26653947754863,958.6873794265348
2021-08-17,516.6188948643554,119.31511300551041,981.1108329686575
2021-08-18,516.7003084997224,63.41985366565886,947.1586857346821
2021-08-19,516.7817221350894,105.02731492923441,911.2661030515119
2021-08-20,516.8631357704561,80.12601773644904,946.6910109827782
2021-08-21,516.9445494058231,77.33247959302948,936.9798072605826
2021-08-22,517.0259630411899,60.018662011184034,957.3467228053041
2021-08-23,517.1073766765569,111.93352170227882,939.738869302011
2021-08-24,517.1887903119236,101.99152613922975,912.3397310741842
2021-08-25,517.2702039472906,94.06147116061092,979.2653974147597
2021-08-26,517.3516175826575,101.07757352008535,922.4020153209217
2021-08-27,517.4330312180243,103.78878492199917,943.347902148474
2021-08-28,517.5144448533912,89.66712296179561,944.8871543475342
